date,GDP,weekly_earnings,int_rate,unemp_rate,yield,deposits_rate
2007 Jan,84,421,5.1705,5.5,5.1419,2.99
2007 Feb,84.2,426,5.25,5.5,5.1621,3.13
2007 Mar,84.5,417,5.25,5.5,5.0758,3.1
2007 Apr,84.7,413,5.25,5.4,5.2787,3.13
2007 May,84.8,416,5.4286,5.4,5.4112,3.14
2007 Jun,84.9,419,5.5,5.3,5.6831,3.31
2007 Jul,85.2,420,5.7159,5.3,5.6415,3.33
2007 Aug,85.4,421,5.75,5.3,5.3359,3.46
2007 Sep,85.5,423,5.75,5.2,5.0886,3.47
2007 Oct,85.7,421,5.75,5.2,5.0221,3.51
2007 Nov,86.1,425,5.75,5.2,4.7011,3.48
2007 Dec,86.3,425,5.5395,5.2,4.6188,3.45
2008 Jan,86.4,439,5.5,5.2,4.3559,3.32
2008 Feb,86.8,445,5.2976,5.2,4.368,3.29
2008 Mar,86.1,440,5.25,5.3,4.0784,3.11
2008 Apr,86.5,430,5.0795,5.2,4.3121,3.11
2008 May,85.7,433,5,5.4,4.6942,2.97
2008 Jun,85.5,432,5,5.5,5.2365,3.01
2008 Jul,84.9,434,5,5.7,4.9945,3.09
2008 Aug,84.9,434,5,5.9,4.618,3.1
2008 Sep,84.1,434,5,6,4.4156,3.08
2008 Oct,83.7,435,4.6087,6.2,4.1307,3.03
2008 Nov,82.9,434,3.225,6.4,3.5135,2.57
2008 Dec,82.6,436,2.1429,6.5,3.001,1.59
2009 Jan,82.2,434,1.5952,6.7,2.7649,1.14
2009 Feb,81.8,419,1.075,7.1,2.6316,0.94
2009 Mar,81.1,435,0.5682,7.3,2.3913,0.82
2009 Apr,81.9,437,0.5,7.6,2.5741,0.76
2009 May,80.9,436,0.5,7.8,2.6593,0.73
2009 Jun,81.1,436,0.5,7.9,2.8881,0.76
2009 Jul,81.6,435,0.5,7.9,3.0469,0.74
2009 Aug,81,436,0.5,7.8,2.8844,0.71
2009 Sep,81.4,437,0.5,7.9,2.7129,0.74
2009 Oct,81.4,437,0.5,7.8,2.618,0.75
2009 Nov,81.5,439,0.5,7.8,2.7576,0.72
2009 Dec,81.8,439,0.5,7.7,2.7776,0.73
2010 Jan,81.2,440,0.5,7.9,2.9725,0.85
2010 Feb,82.3,442,0.5,8,2.8966,0.78
2010 Mar,82.9,442,0.5,8,2.823,0.78
2010 Apr,83,442,0.5,7.9,2.825,0.81
2010 May,83.3,444,0.5,7.9,2.5029,0.8
2010 Jun,83.4,444,0.5,7.8,2.3119,0.8
2010 Jul,83.7,443,0.5,7.8,2.219,0.81
2010 Aug,83.9,445,0.5,7.8,1.9654,0.79
2010 Sep,84.1,447,0.5,7.9,1.8674,0.8
2010 Oct,84.4,447,0.5,7.9,1.7699,0.84
2010 Nov,84.1,448,0.5,7.9,1.9955,0.81
2010 Dec,83.2,449,0.5,7.9,2.3217,0.88
2011 Jan,83.6,453,0.5,7.8,2.5068,0.97
2011 Feb,84.2,453,0.5,7.8,2.7452,0.88
2011 Mar,84.7,453,0.5,7.7,2.565,0.92
2011 Apr,83.8,452,0.5,7.8,2.597,0.93
2011 May,84.8,453,0.5,7.9,2.2839,0.91
2011 Jun,84.6,457,0.5,8,2.0908,0.94
2011 Jul,84.9,456,0.5,8.2,1.962,0.94
2011 Aug,84.6,454,0.5,8.3,1.4962,0.92
2011 Sep,84.8,454,0.5,8.4,1.3542,0.97
2011 Oct,84.3,456,0.5,8.5,1.4553,0.99
2011 Nov,85.2,457,0.5,8.4,1.2262,1.01
2011 Dec,85.6,457,0.5,8.4,1.0506,0.99
2012 Jan,85.5,455,0.5,8.3,1.0215,0.98
2012 Feb,85.3,457,0.5,8.2,1.0337,1.02
2012 Mar,85.9,457,0.5,8.2,1.1171,1.04
2012 Apr,85.3,460,0.5,8.1,1.0441,1.03
2012 May,86.5,460,0.5,8,0.8844,1.06
2012 Jun,85.1,462,0.5,8,0.784,1.06
2012 Jul,86.7,463,0.5,7.9,0.641,1.03
2012 Aug,87.1,464,0.5,7.9,0.6454,1.03
2012 Sep,86.1,462,0.5,7.9,0.7001,1.04
2012 Oct,86.4,462,0.5,7.8,0.7454,1.07
2012 Nov,86.4,463,0.5,7.8,0.7774,1.06
2012 Dec,86.1,461,0.5,7.8,0.856,1.05
2013 Jan,86.1,461,0.5,8,1.0309,1.13
2013 Feb,86.8,462,0.5,7.8,1.0107,1.05
2013 Mar,86.9,456,0.5,7.8,0.8212,1.01
2013 Apr,87.1,475,0.5,7.8,0.718,0.98
2013 May,87.5,468,0.5,7.7,0.877,0.96
2013 Jun,87.5,467,0.5,7.7,1.2133,0.92
2013 Jul,87.9,466,0.5,7.7,1.2607,0.9
2013 Aug,88,466,0.5,7.6,1.4692,0.85
2013 Sep,88,466,0.5,7.4,1.6605,0.88
2013 Oct,88.5,466,0.5,7.2,1.5307,0.81
2013 Nov,88.6,466,0.5,7.2,1.5709,0.78
2013 Dec,88.5,468,0.5,7.2,1.7936,0.82
2014 Jan,89.2,469,0.5,6.9,1.8546,0.82
2014 Feb,89.4,472,0.5,6.8,1.7707,0.76
2014 Mar,89.9,461,0.5,6.6,1.7753,0.75
2014 Apr,89.9,469,0.5,6.4,1.8022,0.76
2014 May,90.1,469,0.5,6.3,1.8365,0.77
2014 Jun,90.1,470,0.5,6.1,1.9345,0.79
2014 Jul,90.5,468,0.5,6,1.9412,0.76
2014 Aug,90.5,470,0.5,6,1.7856,0.75
2014 Sep,90.6,473,0.5,6,1.7505,0.74
2014 Oct,90.8,475,0.5,5.9,1.5153,0.78
2014 Nov,90.9,475,0.5,5.7,1.4297,0.76
2014 Dec,91,478,0.5,5.7,1.2628,0.75
2015 Jan,91.4,476,0.5,5.6,1.0121,0.78
2015 Feb,91.6,479,0.5,5.5,1.133,0.76
2015 Mar,91.8,480,0.5,5.5,1.1706,0.76
2015 Apr,92.3,481,0.5,5.6,1.1282,0.75
2015 May,92.1,482,0.5,5.6,1.3478,0.76
2015 Jun,92.2,481,0.5,5.5,1.427,0.77
2015 Jul,92.6,484,0.5,5.4,1.4541,0.76
2015 Aug,92.5,484,0.5,5.3,1.3126,0.77
2015 Sep,92.8,483,0.5,5.2,1.201,0.76
2015 Oct,93.1,484,0.5,5.1,1.1418,0.77
2015 Nov,93.2,484,0.5,5.1,1.2926,0.77
